"Item","Quantity","Est. Cost","Link"
"FireBeetle ESP32-E IoT Microcontroller","1","$15","https://www.dfrobot.com/product-2195.html"
"ADXL335 Accelerometer Module","1","$2.50","https://www.amazon.com/gp/product/B094NHTPKR/ref=ox_sc_act_title_1?smid=A3KCMC2VCXFGL9&th=1"
"3.7V 4400mAh Li-Po Battery","1","$6","https://www.amazon.com/dp/B0BJKFJ227?ref=ppx_yo2ov_dt_b_fed_asin_title"
"Velcro Strap (1.5"" width)","1","$3","https://www.walmart.com/ip/VELCRO-USA-Inc-Industrial-Strength-Sticky-Back-Hook-Loop-Fastener-Strips-4-x-2-Black/19311524?wmlspartner=wlpa&selectedSellerId=0&wl13=1024&gclsrc=aw.ds&adid=2222222227719311524_117755028669_12420145346&wl0=&wl1=g&wl2=c&wl3=501107745824&wl4=pla-394283752452&wl5=9010995&wl6=&wl7=&wl8=&wl9=pla&wl10=8175035&wl11=local&wl12=19311524&veh=sem_LIA&gclsrc=aw.ds&gad_source=1&gad_campaignid=12420145346&gbraid=0AAAAADmfBIr0hAjuRk-897OnEGwUbASb6&gclid=Cj0KCQiA5abIBhCaARIsAM3-zFWFnHAZFaDSyb4AFpOj96Gnc3_zBIPU0c9SMaiis6qF6LBwc38WpIYaAhbTEALw_wcB"
"3D Printing Filament (PLA)","50g","$2.00","https://atomicfilament.com/products/black-pla-filament"
"Brass Screws M3 (6 pack)","1","$1.50","https://www.lowes.com/pd/Hillman-8-32-x-1-2-in-Slotted-Drive-Machine-Screws-4-Count/3035901?store=177&cm_mmc=shp-_-c-_-prd-_-hdw-_-ggl-_-PMAX_HDW_000_Priority_Item-_-3035901-_-local-_-0-_-0&gclsrc=aw.ds&gad_source=1&gad_campaignid=21797082881&gbraid=0AAAAAD2B2W-Pm1IYCwRHSMgDUhLmFWn6h&gclid=Cj0KCQiA5abIBhCaARIsAM3-zFXQcRKyo4vYyL2i9PrfmvSzaFWBRmEmIK_CIaQytMDb3yMwv6W8bLIaAsp3EALw_wcB"
"Resistors (2x 10kΩ)","1","$0.20","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT4K70/1830366?gclsrc=aw.ds&gad_source=1&gad_campaignid=20682878391&gbraid=0AAAAADrbLlgb8gJQ6J1kcKvIjfq2-lC1x&gclid=Cj0KCQiA5abIBhCaARIsAM3-zFVw2BcGZrDs85geLEBjB9UmZ9qvf2ijZBfmhUmqiZ3h1JbpAkflB2IaApwSEALw_wcB"
"Jumper Wires x10 (Male-Male)","1","$2","https://www.adafruit.com/product/1957?srsltid=AfmBOooGsyi4KqcGJqzcJNcyJdSbAl943DiR-bqoieDGuh1_y6BzBXvofE8"
"USB-C Cable (charging)","1","$6","https://www.amazon.com/Amazon-Basics-Charger-480Mbps-Certified/dp/B01GGKYN0A/ref=sr_1_7_ffob_sspa?dib=eyJ2IjoiMSJ9.kD_UX5cfSPk9-oqnhWXGj8CAbSOafH6GFMHA33knmhTjJySJfMCGsZLd9Ok09ZUQ6MqtaSn3tFi_bDtUD0NnxJEwV_oFVLj3Ylknc5-QkBSWykClXICeZX-TrTCSlUwNiAO01PDRSdqwdCNLhLnbhe6JXU9qx9jyyxIovfWj1COUIXcSqMi885JZS-Upv_KC9x4SqkwbudYx9ar8HNT3hRc1dgcakQPDsupHFYg1sEM.ktyLaCMcEVhDwJPFIxqUJSCUo-rsRYJmbTl5CvCfkd0&dib_tag=se&keywords=usb-c+charger&qid=1762283092&sr=8-7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1"
"Heat Shrink Tubing","1ft","$1.00","https://www.amazon.com/650pcs-Shrink-Tubing-innhom-Approved/dp/B07WWWPR2X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.afAtOFc0AWv7IewHnY-SsuN5uE2l0bfL-h5TpNvDnE6kfQoqZkYohyqoxSNuMUcN_WNKaZcK90NvFGHhgy-ATxUo2xlVY1iVJF70EdInhxSFmSUhiM8_FjuUkms3YpVmmAsvh-AeOUPRW-ZONGB63Ffs5WEviLLJj3lcvO1fz9Nvp4-j3OuXJFpR_GMq8_4fzU8J-2Vh9LxqaReMRHN7da1Ez8rgElSgprNg1U8fnv8.Dlip_atTTl9fUNwMOXt7GzO38fO6ZNSqZG1FdQWqPLE&dib_tag=se&keywords=heat+shrink+tubing&qid=1762283113&sr=8-6"
